0,,,1,,,2,,, 
-0.058569,0.015195, ,0.0138,0.00538, ,475.9702854,-343.3349217, , 
-0.036565,0.016378, ,0.021967,0.005649, ,477.4336251,-342.7091653, , 
-0.015106,0.016895, ,0.031401,0.005667, ,478.8878596,-342.0625338, , 
0.006131,0.016765, ,0.041772,0.005429, ,480.336658,-341.4038163, , 
0.0276,0.016065, ,0.052697,0.004946, ,481.780088,-340.7334112, , 
0.049558,0.014902, ,0.063673,0.004241, ,483.2130043,-340.0408196, , 
0.071742,0.013392, ,0.073978,0.003346, ,484.6262328,-339.3088953, , 
0.093056,0.011651, ,0.082618,0.002298, ,486.0080311,-338.5192338, , 
0.111439,0.009788, ,0.088424,0.00114, ,487.3442442,-337.6546707, , 
0.124306,0.007893, ,0.090378,-0.000084, ,488.6175163,-336.6998392, , 
0.129778,0.006025, ,0.08802,-0.00133, ,489.8074481,-335.6429721, , 
0.12801,0.004218, ,0.081705,-0.002555, ,490.8932202,-334.4793562, , 
0.12126,0.002488, ,0.072494,-0.003724, ,491.8574209,-333.2131639, , 
0.112521,0.000852, ,0.061731,-0.004808, ,492.6871668,-331.8550503, , 
0.104095,-0.000665, ,0.050609,-0.005783, ,493.3701091,-330.417501, , 
0.097124,-0.002027, ,0.039926,-0.006635, ,493.8885892,-328.9128038, , 
0.091823,-0.003193, ,0.030096,-0.007353, ,494.2192752,-327.3560391, , 
0.087876,-0.00412, ,0.02125,-0.007933, ,494.3429316,-325.7693695, , 
0.084721,-0.00478, ,0.013339,-0.008375, ,494.2604412,-324.1800142, , 
0.08174,-0.005175, ,0.006188,-0.008682, ,494.0035434,-322.6093507, , 
0.078399,-0.005342, ,-0.000469,-0.008851, ,493.6303234,-321.062183, , 
0.07433,-0.005354, ,-0.006973,-0.008875, ,493.2063047,-319.5281883, , 
0.069389,-0.005286, ,-0.013706,-0.008738, ,492.7811108,-317.9945341, , 
0.063649,-0.005191, ,-0.021059,-0.008427, ,492.3716282,-316.4565918, , 
0.057332,-0.005087, ,-0.029391,-0.007934, ,491.9593661,-314.9193819, , 
0.050708,-0.004963, ,-0.038979,-0.00726, ,491.5036792,-313.3944995, , 
