1,,2,,3,,4,
330.551198,-271.9772104,314.4485806,-353.1866711,397.9552318,-347.1913119,387.3500133,-214.9567543
328.9503044,-271.7920011,313.4110937,-354.2970611,397.7534628,-348.7698084,388.6131021,-213.98454
327.3494878,-271.6061201,312.560704,-355.5565151,398.0807029,-350.327127,389.9087516,-213.0561927
325.7497958,-271.4108037,311.8491496,-356.8992835,398.9065254,-351.6874774,391.2512241,-212.196989
324.152708,-271.1952295,311.2217318,-358.2833459,400.1060546,-352.7334664,392.6361957,-211.4080774
322.5599028,-270.9500035,310.6362839,-359.6856714,401.5250263,-353.4544531,394.0361269,-210.6458396
320.9734622,-270.6664969,310.0694318,-361.0956171,403.0449215,-353.9267987,395.3974855,-209.8165859
319.3968877,-270.3324412,309.5132349,-362.5098003,404.6029819,-354.2514386,396.628787,-208.8044196
317.8372564,-269.9265473,308.9683006,-363.9283612,406.1749362,-354.5001964,397.5904976,-207.5335283
316.3087579,-269.4157585,308.4378297,-365.3523937,407.7539697,-354.6991678,398.1232407,-206.0315542
314.8372828,-268.7585357,307.924132,-366.7825625,409.3388931,-354.8437934,398.1226606,-204.437879
313.4633471,-267.9162905,307.4271676,-368.2186317,410.9283216,-354.925147,397.6054186,-202.9303015
312.2368359,-266.8710085,306.9441882,-369.6594648,412.5196683,-354.9487625,396.7005065,-201.6179793
311.1970684,-265.6398257,306.4699983,-371.1032145,414.1111488,-354.9371594,395.572852,-200.4912755
310.3419561,-264.2738178,305.9977553,-372.5476023,415.7025566,-354.9187509,394.3526764,-199.4657515
309.6061853,-262.8398827,305.5202196,-373.9902486,417.2940596,-354.9128701,393.1136104,-198.4631561
308.8717973,-261.405299,305.031288,-375.4290723,418.8855624,-354.9203665,391.8796411,-197.4542296
308.013516,-260.0413767,304.5279297,-376.862912,420.4770791,-354.9241217,390.641878,-196.4499862
306.9519806,-258.8289555,304.0129989,-378.2926372,422.0683814,-354.8981852,389.3825975,-195.4728796
305.6792036,-257.8405147,303.4991326,-379.7227504,423.658003,-354.8207067,388.094337,-194.5342889
304.2425314,-257.1103375,303.012882,-381.1624973,425.2437087,-354.6848541,386.7830013,-193.6282102
302.7061771,-256.6236306,302.5970689,-382.6241488,426.824792,-354.5028622,385.4597482,-192.7396363
301.1210747,-256.3326368,302.3088712,-384.1162055,428.4034724,-354.3011035,384.1322275,-191.8574505
299.5166274,-256.1812147,302.2116028,-385.6327003,429.983241,-354.1081214,382.8003594,-190.9818382
297.9062736,-256.1185194,302.3603129,-387.1449972,431.5659871,-353.9412961,381.4561501,-190.1252868
296.2948167,-256.0987177,302.7856157,-388.6038538,433.1511661,-353.7993567,380.0847752,-189.3129189
294.6833942,-256.0762578,303.4837342,-389.9535997,434.7370569,-353.6656353,378.6662381,-188.5860003
293.0733117,-256.0071865,304.4188893,-391.1514032,436.3219507,-353.5206394,377.1816572,-188.0057828
291.4684825,-255.8601937,305.5368518,-392.1807055,437.904912,-353.3558333,375.6280842,-187.6495764
289.8730278,-255.6329072,306.7818138,-393.052136,439.4865813,-353.1790273,374.0352975,-187.5918897
288.2839283,-255.3644572,308.1084008,-393.7934008,441.068827,-353.0075171,372.4666908,-187.8743
286.6884446,-255.1368297,309.4858409,-394.4352299,442.6529321,-352.8541257,370.9936573,-188.4831039
285.0785982,-255.0620603,310.896376,-395.0006196,444.2385085,-352.7166975,369.6589323,-189.354426
283.4786319,-255.2544376,312.3311861,-395.5012067,445.8240661,-352.5790933,368.4595458,-190.4042785
281.9591098,-255.7908731,313.7858627,-395.9407233,447.4078798,-352.4227408,367.3623626,-191.5604782
280.6126655,-256.6762094,315.2567386,-396.322541,448.9887882,-352.2392848,366.334216,-192.7784624
279.4977118,-257.839811,316.7392141,-396.6565198,450.5670386,-352.0342006,365.3601809,-194.0401356
278.5896204,-259.1713405,318.228152,-396.9603991,452.143935,-351.8189784,364.4403309,-195.3418266
277.7804589,-260.5651778,319.719196,-397.2537448,453.7201255,-351.5986286,363.5724975,-196.6787658
276.9307674,-261.9345003,321.2101995,-397.5473002,455.2942756,-351.3641271,362.7344552,-198.034612
275.934312,-263.2009777,322.7024655,-397.8344123,456.8627772,-351.0944405,361.8780583,-199.3789491
274.75169,-264.2957106,324.2002761,-398.0910131,458.4198141,-350.7649658,360.9408648,-200.6682265
273.4007513,-265.1744348,325.7072848,-398.2863298,459.9577791,-350.3556001,359.8685876,-201.8475125
271.9250328,-265.8221224,327.2225969,-398.400533,461.468441,-349.8547893,358.6340875,-202.8557318
270.3682569,-266.2388634,328.741706,-398.4405379,462.9451374,-349.2612672,357.2433841,-203.6344915
268.7671138,-266.4219603,330.2613536,-398.4440328,464.3864631,-348.5863618,355.7305178,-204.1362429
267.1567484,-266.3598574,331.7808012,-398.4672137,465.8004893,-347.855957,354.1484852,-204.3302842
265.5773604,-266.0394729,333.2974926,-398.5611569,467.2053022,-347.1079877,352.55922,-204.2091158
264.0746446,-265.4572512,334.8054541,-398.7489996,468.6220466,-346.3829172,351.0201121,-203.7948313
