1,,2,,3,
361.8252474,-258.1591941,344.6074327,-349.8700558,382.3543091,-330.6944626
360.8555911,-259.4464348,344.0109579,-351.2677186,383.9390391,-330.547848
359.8506478,-260.7063096,343.2246987,-352.5681192,385.5197409,-330.3625894
358.8520318,-261.9711757,342.2557324,-353.7387371,387.0991378,-330.1663287
357.8828316,-263.2587212,341.123284,-354.7520496,388.683315,-330.0137006
356.9361796,-264.5629749,339.8554645,-355.5898374,390.2739017,-329.9603447
355.9733751,-265.8553637,338.4845727,-356.245531,391.8635674,-330.0367547
354.9389502,-267.0911214,337.0417016,-356.7224141,393.4423085,-330.2381259
353.7874786,-268.2185644,335.5529876,-357.0274167,395.0056109,-330.5365439
352.504535,-269.1938083,334.0394907,-357.1638455,396.5533122,-330.9074472
351.1076252,-269.9974258,332.5202856,-357.1280785,398.0807691,-331.3545511
349.6301292,-270.6410321,331.0159635,-356.9130267,399.5686727,-331.9195487
348.1035019,-271.1573803,329.5489499,-356.5166858,400.9721986,-332.6699444
346.5487168,-271.5814329,328.1386375,-355.9507839,402.2120522,-333.667727
344.976491,-271.9353767,326.7928737,-355.2449625,403.1789216,-334.9317823
343.3910612,-272.2244759,325.5003632,-354.4457532,403.7601485,-336.4132584
341.7942561,-272.4421217,324.2288911,-353.6134507,403.8807985,-338.0000875
340.1884726,-272.5785354,322.9325466,-352.8204427,403.5374132,-339.5540292
338.5776772,-272.628421,321.568353,-352.1509104,402.8038492,-340.9663723
336.9664456,-272.5953894,320.1182274,-351.696691,401.8055561,-342.2059625
335.3581414,-272.4927893,318.6064469,-351.5430832,400.6822125,-343.33358
333.7537114,-272.341207,317.1004452,-351.7455574,399.5694247,-344.4715203
332.1519935,-272.1632588,315.6893135,-352.3092908,398.608546,-345.7401955
330.551198,-271.9772104,314.4485806,-353.1866711,397.9552318,-347.1913119
328.9503044,-271.7920011,313.4110937,-354.2970611,397.7534628,-348.7698084
327.3494878,-271.6061201,312.560704,-355.5565151,398.0807029,-350.327127
325.7497958,-271.4108037,311.8491496,-356.8992835,398.9065254,-351.6874774
324.152708,-271.1952295,311.2217318,-358.2833459,400.1060546,-352.7334664
322.5599028,-270.9500035,310.6362839,-359.6856714,401.5250263,-353.4544531
320.9734622,-270.6664969,310.0694318,-361.0956171,403.0449215,-353.9267987
319.3968877,-270.3324412,309.5132349,-362.5098003,404.6029819,-354.2514386
317.8372564,-269.9265473,308.9683006,-363.9283612,406.1749362,-354.5001964
316.3087579,-269.4157585,308.4378297,-365.3523937,407.7539697,-354.6991678
314.8372828,-268.7585357,307.924132,-366.7825625,409.3388931,-354.8437934
313.4633471,-267.9162905,307.4271676,-368.2186317,410.9283216,-354.925147
312.2368359,-266.8710085,306.9441882,-369.6594648,412.5196683,-354.9487625
311.1970684,-265.6398257,306.4699983,-371.1032145,414.1111488,-354.9371594
310.3419561,-264.2738178,305.9977553,-372.5476023,415.7025566,-354.9187509
309.6061853,-262.8398827,305.5202196,-373.9902486,417.2940596,-354.9128701
308.8717973,-261.405299,305.031288,-375.4290723,418.8855624,-354.9203665
308.013516,-260.0413767,304.5279297,-376.862912,420.4770791,-354.9241217
306.9519806,-258.8289555,304.0129989,-378.2926372,422.0683814,-354.8981852
305.6792036,-257.8405147,303.4991326,-379.7227504,423.658003,-354.8207067
304.2425314,-257.1103375,303.012882,-381.1624973,425.2437087,-354.6848541
302.7061771,-256.6236306,302.5970689,-382.6241488,426.824792,-354.5028622
301.1210747,-256.3326368,302.3088712,-384.1162055,428.4034724,-354.3011035
299.5166274,-256.1812147,302.2116028,-385.6327003,429.983241,-354.1081214
297.9062736,-256.1185194,302.3603129,-387.1449972,431.5659871,-353.9412961
296.2948167,-256.0987177,302.7856157,-388.6038538,433.1511661,-353.7993567
294.6833942,-256.0762578,303.4837342,-389.9535997,434.7370569,-353.6656353
293.0733117,-256.0071865,304.4188893,-391.1514032,436.3219507,-353.5206394
291.4684825,-255.8601937,305.5368518,-392.1807055,437.904912,-353.3558333
289.8730278,-255.6329072,306.7818138,-393.052136,439.4865813,-353.1790273
288.2839283,-255.3644572,308.1084008,-393.7934008,441.068827,-353.0075171
286.6884446,-255.1368297,309.4858409,-394.4352299,442.6529321,-352.8541257
285.0785982,-255.0620603,310.896376,-395.0006196,444.2385085,-352.7166975
283.4786319,-255.2544376,312.3311861,-395.5012067,445.8240661,-352.5790933
281.9591098,-255.7908731,313.7858627,-395.9407233,447.4078798,-352.4227408
280.6126655,-256.6762094,315.2567386,-396.322541,448.9887882,-352.2392848
279.4977118,-257.839811,316.7392141,-396.6565198,450.5670386,-352.0342006
278.5896204,-259.1713405,318.228152,-396.9603991,452.143935,-351.8189784
277.7804589,-260.5651778,319.719196,-397.2537448,453.7201255,-351.5986286
276.9307674,-261.9345003,321.2101995,-397.5473002,455.2942756,-351.3641271
275.934312,-263.2009777,322.7024655,-397.8344123,456.8627772,-351.0944405
274.75169,-264.2957106,324.2002761,-398.0910131,458.4198141,-350.7649658
273.4007513,-265.1744348,325.7072848,-398.2863298,459.9577791,-350.3556001
271.9250328,-265.8221224,327.2225969,-398.400533,461.468441,-349.8547893
270.3682569,-266.2388634,328.741706,-398.4405379,462.9451374,-349.2612672
268.7671138,-266.4219603,330.2613536,-398.4440328,464.3864631,-348.5863618
267.1567484,-266.3598574,331.7808012,-398.4672137,465.8004893,-347.855957
265.5773604,-266.0394729,333.2974926,-398.5611569,467.2053022,-347.1079877
264.0746446,-265.4572512,334.8054541,-398.7489996,468.6220466,-346.3829172
262.695101,-264.6241679,336.3013112,-399.0168363,470.063991,-345.7093612
261.4819383,-263.5633162,337.7896539,-399.3236542,471.5308707,-345.0919411
260.4738873,-262.3059504,339.2793154,-399.6238897,473.0123491,-344.5104096
259.7030233,-260.8907288,340.7755588,-399.8894224,474.49541,-343.9329635
259.1870522,-259.3640229,342.2777536,-400.118991,475.9702854,-343.3349217
258.9173807,-257.7751943,343.7826482,-400.3300866,477.4336251,-342.7091653
258.8500689,-256.1650151,345.28785,-400.5389509,478.8878596,-342.0625338
258.9059218,-254.5543644,346.7939094,-400.7416498,480.336658,-341.4038163
258.9795918,-252.9444272,348.3045232,-400.9070855,481.780088,-340.7334112
258.9536071,-251.3330462,349.8222145,-400.983847,483.2130043,-340.0408196
258.7158667,-249.7391338,351.3402707,-400.9150084,484.6262328,-339.3088953
258.1818427,-248.218687,352.8371093,-400.6529051,486.0080311,-338.5192338
257.3177567,-246.8584578,354.2774452,-400.1684881,487.3442442,-337.6546707
256.1519698,-245.7458629,355.6188109,-399.4543727,488.6175163,-336.6998392
254.7617055,-244.930824,356.8201929,-398.5238381,489.8074481,-335.6429721
253.2382484,-244.4050926,357.8512817,-397.4075613,490.8932202,-334.4793562
251.6530529,-244.11445,358.7010769,-396.1477604,491.8574209,-333.2131639
250.045941,-243.9943944,359.3827659,-394.7896013,492.6871668,-331.8550503
248.4343868,-244.0043678,359.9314575,-393.3724717,493.3701091,-330.417501
246.828645,-244.1414477,360.3944282,-391.9250744,493.8885892,-328.9128038
245.2432133,-244.4304569,360.817691,-390.4655818,494.2192752,-327.3560391
243.7017959,-244.9006764,361.2344932,-389.0042346,494.3429316,-325.7693695
242.2336816,-245.565327,361.6600342,-387.5454051,494.2604412,-324.1800142
240.8648848,-246.4159615,362.0936798,-386.0889627,494.0035434,-322.6093507
239.613357,-247.4312841,362.5267954,-384.6323648,493.6303234,-321.062183
238.4925036,-248.5892433,362.9521325,-383.1734767,493.2063047,-319.5281883
237.5167487,-249.8718333,363.3703095,-381.7125181,492.7811108,-317.9945341
236.7002946,-251.2612562,363.7907383,-380.2522059,492.3716282,-316.4565918
236.0475413,-252.7346995,364.2279168,-378.7968214,491.9593661,-314.9193819
235.5431514,-254.2653163,364.6972047,-377.3514701,491.5036792,-313.3944995
235.152569,-255.8288571,365.2142773,-375.9225129,490.9637217,-311.8973979
234.8359101,-257.409016,365.7988912,-374.5198267,490.3166522,-310.4433723
234.5663283,-258.9978819,366.4790821,-373.1609086,489.5629997,-309.0416082
234.3398175,-260.5934597,367.2900411,-371.8757461,488.7193613,-307.6920812
234.1699503,-262.1960473,368.2645606,-370.7097513,487.8057228,-306.3889291
234.071627,-263.8046047,369.4180777,-369.7205281,486.8350428,-305.1276923
234.0447584,-265.4159525,370.7368983,-368.9656472,485.8088432,-303.9111995
234.0681306,-267.0273642,372.178261,-368.4843729,484.7187998,-302.7515693
234.1062837,-268.6384869,373.6843403,-368.282028,483.5521251,-301.6690728
234.1237716,-270.2499578,375.2033562,-368.3256218,482.2978434,-300.6894324
234.0981449,-271.8613203,376.7058827,-368.5531626,480.951783,-299.8402996
234.0262806,-273.4712885,378.1873462,-368.891678,479.5193589,-299.1467223
233.9240672,-275.0796201,379.6575886,-369.2759332,478.0156986,-298.6252951
233.8224232,-276.6879909,381.1273743,-369.6619121,476.4625717,-298.2778849
