0.050708, -0.004963, , -0.038979, -0.007260, , 
0.044010, -0.004797, , -0.049925, -0.006418, , 
0.037418, -0.004565, , -0.062016, -0.005430, , 
0.031082, -0.004248, , -0.074541, -0.004323, , 
0.025160, -0.003836, , -0.086188, -0.003127, , 
0.019848, -0.003328, , -0.095204, -0.001873, , 
0.015384, -0.002735, , -0.099927, -0.000593, , 
0.012007, -0.002074, , -0.099461, 0.000676, , 
0.009892, -0.001374, , -0.094028, 0.001899, , 
0.009092, -0.000666, , -0.084787, 0.003034, , 
0.009520, 0.000018, , -0.073298, 0.004041, , 
0.010994, 0.000645, , -0.061021, 0.004880, , 
0.013316, 0.001190, , -0.049050, 0.005513, , 
0.016339, 0.001637, , -0.038065, 0.005907, , 
0.019972, 0.001974, , -0.028418, 0.006041, , 
0.024128, 0.002201, , -0.020260, 0.005913, , 
0.028661, 0.002323, , -0.013637, 0.005543, , 
0.033312, 0.002349, , -0.008548, 0.004980, , 
0.037719, 0.002292, , -0.004944, 0.004290, , 
0.041486, 0.002165, , -0.002692, 0.003547, , 
0.044280, 0.001982, , -0.001549, 0.002819, , 
0.045947, 0.001754, , -0.001185, 0.002168, , 
0.046562, 0.001494, , -0.001245, 0.001640, , 
0.046416, 0.001212, , -0.001438, 0.001272, , 
0.045905, 0.000916, , -0.001604, 0.001088, , 
0.045406, 0.000616, , -0.001739, 0.001105, , 
0.045163, 0.000318, , -0.001943, 0.001328, , 
0.045239, 0.000029, , -0.002320, 0.001752, , 
0.045529, -0.000250, , -0.002848, 0.002347, , 
0.045837, -0.000518, , -0.003281, 0.003046, , 
0.045965, -0.000779, , -0.003130, 0.003747, , 
0.045790, -0.001040, , -0.001758, 0.004334, , 
0.045273, -0.001308, , 0.001424, 0.004707, , 
0.044414, -0.001588, , 0.006790, 0.004798, , 
0.043192, -0.001882, , 0.014483, 0.004576, , 
0.041532, -0.002185, , 0.024521, 0.004034, , 
0.039326, -0.002489, , 0.036782, 0.003187, , 
0.036485, -0.002780, , 0.050684, 0.002060, , 
0.032992, -0.003045, , 0.064656, 0.000689, , 
0.028918, -0.003272, , 0.076005, -0.000874, , 
0.024410, -0.003450, , 0.081786, -0.002552, , 
0.019652, -0.003570, , 0.080242, -0.004234, , 
0.014826, -0.003626, , 0.071527, -0.005787, , 
0.010090, -0.003617, , 0.057160, -0.007083, , 
0.005560, -0.003542, , 0.039019, -0.008034, , 
0.001308, -0.003404, , 0.018695, -0.008596, , 
-0.002628, -0.003211, , -0.002638, -0.008754, , 
-0.006227, -0.002974, , -0.024060, -0.008500, , 
-0.009460, -0.002708, , -0.044636, -0.007835, , 
-0.012270, -0.002429, , -0.063078, -0.006776, , 
-0.014582, -0.002153, , -0.077454, -0.005374, , 
-0.016335, -0.001895, , -0.085378, -0.003720, , 
-0.017521, -0.001666, , -0.085141, -0.001935, , 
-0.018204, -0.001472, , -0.077225, -0.000143, , 
-0.018521, -0.001320, , -0.064421, 0.001550, , 
-0.018643, -0.001212, , -0.050069, 0.003059, , 
-0.018743, -0.001150, , -0.036403, 0.004320, , 
-0.018967, -0.001137, , -0.024344, 0.005284, , 
-0.019423, -0.001174, , -0.014081, 0.005920, , 
-0.020182, -0.001262, , -0.005548, 0.006209, , 
-0.021275, -0.001395, , 0.001394, 0.006153, , 
-0.022688, -0.001561, , 0.006915, 0.005788, , 
-0.024372, -0.001737, , 0.011210, 0.005185, , 
-0.026261, -0.001891, , 0.014482, 0.004449, , 
-0.028315, -0.001980, , 0.016916, 0.003685, , 
-0.030551, -0.001963, , 0.018670, 0.002969, , 
-0.033047, -0.001804, , 0.019882, 0.002332, , 
-0.035901, -0.001479, , 0.020690, 0.001775, , 
-0.039169, -0.000976, , 0.021241, 0.001290, , 
-0.042790, -0.000291, , 0.021678, 0.000865, , 
-0.046533, 0.000574, , 0.022106, 0.000493, , 
-0.049947, 0.001608, , 0.022565, 0.000177, , 
-0.052351, 0.002790, , 0.023010, -0.000074, , 
-0.052890, 0.004073, , 0.023329, -0.000243, , 
-0.050749, 0.005383, , 0.023367, -0.000312, , 
-0.045457, 0.006615, , 0.022968, -0.000258, , 
-0.037070, 0.007653, , 0.022003, -0.000064, , 
-0.026023, 0.008393, , 0.020420, 0.000288, , 
-0.012791, 0.008774, , 0.018294, 0.000804, , 
0.002332, 0.008776, , 0.015878, 0.001468, , 
0.019175, 0.008412, , 0.013631, 0.002234, , 
0.037405, 0.007718, , 0.012185, 0.003021, , 
0.056147, 0.006733, , 0.012222, 0.003732, , 
0.073712, 0.005508, , 0.014309, 0.004276, , 
0.087637, 0.004100, , 0.018807, 0.004584, , 
0.095304, 0.002578, , 0.025910, 0.004619, , 
0.095135, 0.001020, , 0.035737, 0.004376, , 
0.087602, -0.000500, , 0.048241, 0.003873, , 
0.075080, -0.001917, , 0.062823, 0.003142, , 
0.060579, -0.003178, , 0.077882, 0.002219, , 
0.046458, -0.004237, , 0.090839, 0.001146, , 
0.033958, -0.005052, , 0.098927, -0.000032, , 
0.023450, -0.005583, , 0.100295, -0.001261, , 
0.014886, -0.005798, , 0.094680, -0.002480, , 
0.008151, -0.005687, , 0.083308, -0.003623, , 
0.003183, -0.005276, , 0.068273, -0.004632, , 
-0.000082, -0.004633, , 0.051805, -0.005454, , 
-0.001856, -0.003862, , 0.035732, -0.006046, , 
-0.002561, -0.003076, , 0.021242, -0.006368, , 
-0.002730, -0.002372, , 0.008939, -0.006385, , 
-0.002814, -0.001818, , -0.000928, -0.006075, , 
-0.003050, -0.001453, , -0.008214, -0.005441, , 
-0.003444, -0.001301, , -0.012758, -0.004521, , 
-0.003851, -0.001380, , -0.014489, -0.003382, , 
-0.004089, -0.001707, , -0.013662, -0.002103, , 
-0.004052, -0.002304, , -0.010988, -0.000756, , 
-0.003806, -0.003186, , -0.007439, 0.000603, , 
-0.003646, -0.004330, , -0.003886, 0.001936, , 
-0.004101, -0.005639, , -0.000827, 0.003207, , 
-0.005838, -0.006924, , 0.001738, 0.004367, , 
-0.009494, -0.007954, , 0.004288, 0.005353, , 
-0.015557, -0.008545, , 0.007584, 0.006095, , 
-0.024390, -0.008613, , 0.012359, 0.006537, , 
-0.036386, -0.008173, , 0.019076, 0.006647, , 
-0.052123, -0.007288, , 0.027929, 0.006427, , 
-0.072241, -0.006038, , 0.038967, 0.005906, , 
-0.096699, -0.004493, , 0.052053, 0.005129, , 
-0.123267, -0.002712, , 0.066525, 0.004144, , 
-0.146304, -0.000747, , 0.080852, 0.002994, , 
-0.158171, 0.001345, , 0.092781, 0.001719, , 
-0.153954, 0.003496, , 0.100065, 0.000359, , 
-0.135119, 0.005620, , 0.101303, -0.001042, , 
-0.107883, 0.007624, , 0.096371, -0.002429, , 
-0.078717, 0.009421, , 0.086281, -0.003735, , 
-0.051612, 0.010928, , 0.072685, -0.004890, , 
-0.027983, 0.012068, , 0.057345, -0.005825, , 
-0.007717, 0.012758, , 0.041777, -0.006474, , 
0.009825, 0.012911, , 0.027087, -0.006773, , 
0.025163, 0.012465, , 0.013970, -0.006667, , 
0.038362, 0.011438, , 0.002788, -0.006121, , 
0.048995, 0.009957, , -0.006274, -0.005128, , 
0.056457, 0.008238, , -0.013036, -0.003717, , 
0.060543, 0.006496, , -0.017269, -0.001951, , 
0.061827, 0.004880, , -0.018806, 0.000071, , 
0.061392, 0.003458, , -0.017690, 0.002213, , 
0.060226, 0.002245, , -0.014151, 0.004294, , 
0.058887, 0.001232, , -0.008430, 0.006111, , 
0.057545, 0.000408, , -0.000643, 0.007478, , 
0.056150, -0.000235, , 0.009301, 0.008272, , 
0.054601, -0.000700, , 0.021728, 0.008456, , 
0.052846, -0.000995, , 0.037108, 0.008062, , 
0.050931, -0.001136, , 0.055745, 0.007157, , 
0.048978, -0.001152, , 0.077273, 0.005825, , 
0.047129, -0.001083, , 0.100031, 0.004153, , 
0.045505, -0.000967, , 0.120641, 0.002226, , 
0.044178, -0.000830, , 0.134411, 0.000132, , 
0.043182, -0.000688, , 0.137141, -0.002038, , 
0.042528, -0.000548, , 0.127561, -0.004188, , 
0.042215, -0.000415, , 0.108223, -0.006223, , 
0.042237, -0.000295, , 0.083788, -0.008056, , 
0.042576, -0.000195, , 0.058476, -0.009611, , 
0.043180, -0.000125, , 0.034747, -0.010817, , 
0.043949, -0.000095, , 0.013436, -0.011604, , 
0.044743, -0.000112, , -0.005501, -0.011909, , 
0.045413, -0.000180, , -0.022258, -0.011694, , 
