0,,1,,2,,3,,4,
304.2425314,-257.1103375,303.012882,-381.1624973,410.777414,-358.8376881,357.5688107,-239.8525112,425.2437087,-354.6848541
302.7061771,-256.6236306,302.5970689,-382.6241488,412.2274481,-358.2755212,356.0087801,-240.0162603,426.824792,-354.5028622
301.1210747,-256.3326368,302.3088712,-384.1162055,413.6947383,-357.7600607,354.4476128,-240.1688288,428.4034724,-354.3011035
299.5166274,-256.1812147,302.2116028,-385.6327003,415.1760422,-357.2863596,352.8869247,-240.3262204,429.983241,-354.1081214
297.9062736,-256.1185194,302.3603129,-387.1449972,416.6673865,-356.8452926,351.3289305,-240.5083028,431.5659871,-353.9412961
296.2948167,-256.0987177,302.7856157,-388.6038538,418.1679823,-356.4367866,349.775827,-240.7282277,433.1511661,-353.7993567
294.6833942,-256.0762578,303.4837342,-389.9535997,419.6828951,-356.0849574,348.2281974,-240.9838917,434.7370569,-353.6656353
293.0733117,-256.0071865,304.4188893,-391.1514032,421.2197796,-355.8466797,346.6836243,-241.2574273,436.3219507,-353.5206394
291.4684825,-255.8601937,305.5368518,-392.1807055,422.7744769,-355.8068222,345.1377534,-241.5234888,437.904912,-353.3558333
289.8730278,-255.6329072,306.7818138,-393.052136,424.3094491,-356.056445,343.5873316,-241.7615843,439.4865813,-353.1790273
288.2839283,-255.3644572,308.1084008,-393.7934008,425.7438541,-356.6570818,342.0320407,-241.9655072,441.068827,-353.0075171
286.6884446,-255.1368297,309.4858409,-394.4352299,426.9745442,-357.6076969,340.4737204,-242.1448418,442.6529321,-352.8541257
285.0785982,-255.0620603,310.896376,-395.0006196,427.9240799,-358.8393004,338.9147389,-242.3183056,444.2385085,-352.7166975
283.4786319,-255.2544376,312.3311861,-395.5012067,428.5845058,-360.2473646,337.3571029,-242.5034442,445.8240661,-352.5790933
281.9591098,-255.7908731,313.7858627,-395.9407233,429.0234927,-361.7394195,335.8019928,-242.7087343,447.4078798,-352.4227408
